url,description,name
,"While the Technologists of tomorrow sharpen their skills on learning 
Technology, there is a need for them to learn about how Technology can be 
applied to various businesses in influencing the future. There are skills 
required to be honed beyond Technology to make a person more successful and 
more influential. The idea of remaining relevant by alignment with 
continuous change of environment around us and staying ahead of the game. 
All this combined with the need to communicate more and connect more.,Atul heads International Sales for PCCW Solutions. During his career of 
over 17 years, he has been working with clients, partners and teams 
globally while playing leadership roles in different areas including Sales, 
Delivery and Operations.,Before this role, he was heading Hong Kong & Macau business for Infosys, 
focusing on driving growth through opening new accounts, managing CxO 
relationships and helping clients in their businesses. Previously, Atul has 
led Business-IT Programs, End-to-End IT Outsourcing and Business/ IT 
Services with global teams for the entire lifecycle - right from idea stage 
to implementation. He has delivered talks at universities (Hong Kong 
University of Science & Technology and Chinese University of Hong Kong) and 
regularly speaks at Industry events on Emerging Trends, next generation 
engagement models and personal development.,Atul holds an MBA from National Institute of Industrial Engineering, 
Mumbai, India. He is also Chairman of the IT Sub-Committee at Indian 
Chamber of Commerce Hong Kong.","The Business of Technology and 3 Mantras for the Technologists of 
Tomorrow to Stay Relevant"
,"Very soon, you will graduate from university and get a job and may 
start your company. This is a new journey, unlike in school and 
university, you will be told what to do. Willington Tang has extensive 
experience working in financial, telecom industry and also the Hong Kong 
Government. Do you want to learn some secret tips to success in developing 
the career from him? How can you differentiate yourself from the others? 
How technology, knowledge, innovation, passion, personal brand pay a 
role?,Willington Tang is currently the Executive Director of JP Morgan. Prior 
to his current role as the regional compliance, he worked as the Program 
manager of the Prime Swap Rollout, Asia Head of Business Analysts in 
equities technology team ofJP Morgan from 2010 to 2015. In addition, he has 
worked as the Vice President, Asia Head of Connectivity in Citibank 
equities technology from 2008 to 2010, Vice President, Asia ex Cash 
equities technology head in Deutsche Bank from 1999 to 2008. Tang has 
developed his expertise and experience in cash equities trading system, 
order management system, algorithmic trading system, index arbitrage 
system, direct market access system for both cash and swap, program trading 
system, inventory management system, client connectivity and exchange 
connectivity.,Before joining the financial industry, he has also worked in 
development team in Hong Kong Telecom covering the mobile, telecom, iTV 
business and ITSD of the Hong Kong Government.,Tang received his MBA from the Hong Kong University of Science & 
Technology and his science bachelor degree from the Chinese University of 
Hong Kong.",How can you make a difference as a Technologist?
,"This information session is mandatory for all COMP students in year 2 
and higher, who have not yet passed COMP 1991. Students interested in 
exchange programs are also recommended to attend.,Watch ,.","Information Seminar on Industrial Experience (COMP 1991) and Exchange 
Programs"
,"The Department of Computer Science and Engineering has been organizing 
the Mobile Application Design (MAD) contest for two years in a row. The 
recently concluded contest in March 2016 featured over 23 teams out of 
which eight were shortlisted for the second round, and five teams went into 
the final round. Besides application development, teams also competed on 
poster design, business idea, and presentation skills.,This year's winners include:,
Application: 
PlexVibe - A Music Discovery and Music Promotion Platform
,Developers:,
IWASAKI Kenta,
MAKSUD Mahian
,
Application:
QNow - An Instant Q&A Platform in Social Media
,Developers:,
SEPTIANTO Andrio,
WIJAYA Reynaldi Octavianus,
WONG Chi Hang, Morris
,
Application:
TravelBuddy - A Platform for Transportation Sharing
,Developers:,
CHANDRA Prashanth,
GUPTA Akanksha,
BORAR Sheetal
,
Application:
PlexVibe
,Developers:,
IWASAKI Kenta,
MAKSUD Mahian
,
Application:
Qnow
,Developers:,
SEPTIANTO Andrio,
WIJAYA Reynaldi Octavianus,
WONG Chi Hang, Morris
,Application:
PlexVibe
,Developers:,
IWASAKI Kenta,
MAKSUD Mahian
,Application:
E-Care - A Platform for Medical Appointment Booking
,Developers:,
NG Kai Hong, Clement,
YUEN Yiu Tung,
CHIU Tsz Tsun
,Application:
Seat It - A Platform for Restaurant Reservation
,Developers:,
IYER Arvind,
LIM Derrick Tze Hsien
,See more about , of the MAD contest.",Mobile Application Design Contest 2015-2016
,"The HKUST 25th Anniversary Celebration in San Francisco was held on 
February 13 at the University Club of San Francisco.,The event was kicked off with an inspiring seminar for a general 
audience hosted by School of Engineering followed by a cocktail reception 
and a celebration dinner.,Both the seminar and dinner recorded full house with more than 20 CSE 
alumni participating in this memorable occasion.,To share our happy moments, please view the ,.",Global Celebration - San Francisco
,"Details of the challenge will be discussed in the workshop: ,Students will learn to use popular tools of Digital Forensic to achieve 
the tasks of Evidence collection, evidence analysis and writing final 
report.,It will cover the typical forensic investigation process:,
,: 2 Mar (Wed) 6:30-8:30pm at CSE Lab 1 (Rm4221) Lift 19,
,: 10 Mar (Thu) 6:30-8:30pm at CSE Lab 1 (Rm4221) Lift 19
,(32 seats - First come first serve; the 2 workshops are related, 
students are expected to attend both),To get the maximum benefits from the workshop, you should possess basic 
knowledge in,A laptop and your eagerness to learn something new and professional.",A Fast Track Professional Workshop on Digital Forensic
,"With widespread usage of mobile phones, handheld GPS devices and so on, 
more and more data are generated by those devices. We can process those 
data and mine out valuable information in order to have deep understanding 
of users, devices and apps which in turn helps us develop better services, 
devices and apps. In this presentation, I will talk about several real 
industrial cases of mobile big data mining and present some interesting 
results.>

,Jun Luo received his PhD degree in computer science from the University 
of Texas at Dallas, USA, in 2006. Then he spent two years as postdoc in 
Utrecht University, the Netherlands. Before he joined Lenovo Big Data lab 
in Hong Kong as senior researcher, he was a researcher in Huawei Noah's Ark 
Lab in Hong Kong and an associate professor in Shenzhen Institutes of 
Advanced Technology, Chinese Academy of Sciences. His research interests 
include data mining and algorithm analysis. He has published over 80 
journal and conference papers in these areas. He has also led teams in big 
data analysis for several industrial projects such as bank and mobile data 
analysis.",Mining Mobile Big Data
,"Website: ,Download ,.,Watch ,.",2016-17 FYP/FYT Information Seminar
,"Undergraduate students LEUNG Ka Chun, CHEUNG Yat Laam, TO Wun Yin and 
TAM Chi Yan won the Gold Award of President's Cup with their project 
,. The team was supervised by ,.,The project aims at using a Leap Motion Controller to recognize signs 
(or hand gestures) and translate a sign language to text and speech for the 
communication between the hearing impaired and the general public. In 
recognition of their efforts and outstanding performance, the awardees will 
receive cash awards as well as trophies from the President during the 
Congregation.,Congratulations to all award recipients!","Project Supervised by Dr Brian MAK Won the Gold Award of 2016 
President's Cup"
,"Tsinghua-HKUST Programming Contest 2013 was held again on 30 August 
2013.,Undergraduates from Tsinghua University in Mainland China, National 
Tsing Hua University in Taiwan, and Hong Kong University of Science and 
Technology tested their skills against each other at HKUST in this 
exciting Greater China competition.,It was the third time that this annual event was held in Hong Kong. The 
contest was initially held between Tsinghua University and National Tsing 
Hua University. HKUST joined in 2007. The competition aims to foster 
creativity, teamwork, and innovation in building new software programs 
among computer science students and to promote cultural exchange.,Seven teams took part in the challenge this year, two individual teams 
from each university and a joint ""Girls' Team"" formed by female students 
from these three institutions. Eventually the champion went to Tsinghua 
University Team 1, comprised of Guo-Yuan CHEN, Yan-Kai LIN, and Tao 
MO.",Tsinghua-HKUST Programming Contest 2013
,"The 1st HKUST-USC Joint Workshop on Big Data Applications was held in 
HKUST on 27 September 2013.,The workshop focused on discussing some killer applications and 
opportunities brought by the Big Data, such as Geo-Crowdsourcing, Product 
Recommendation, and Human Motion Tracking, etc. The workshop was featured 
by four talks and a panel discussion. The speakers were Prof Cyrus Shahabi 
from USC, Dr Wen-Syan Li from SAP, Dr Xing Xie from Microsoft Research 
Asia, and Dr Ying Huang From Lenovo. Besides the speakers, Prof Qiang Yang 
from Huawei, Prof Nikos Mamoulis from the University of Hong Kong, Prof 
Jeffrey Xu Yu from the Chinese University of Hong Kong and Prof Dimitris 
Papadias also participated in the panel discussion. Around 150 researchers 
and industry partners participated in the workshop.,More information about the ,.",The 1st HKUST-USC Joint Workshop on Big Data Applications
,"The 1st EPFL-HKUST Workshop on Computer and Communication Sciences was 
held at HKUST on 17 October 2013.,The workshop was on computing and communication in general covering 
artificial intelligence, cloud computing, database, crowdsourcing and big 
data, networking, social computing, human computer interaction, machine 
learning, and software engineering. It aimed at promoting research 
collaboration and exchange between the computer science faculty and PG 
students at EPFL and HKUST.,The workshop was featured by talks by 4 EPFL professors, Prof Babak 
Falsafi, Prof Boi Faltings, Prof Matthias Grossglauser, and Prof Pearl Pu, 
and 8 HKUST professors, Prof Gary Chan, Prof Lei Chen, Prof Lin Gu, Prof 
Ben Hui, Prof James Kwok, Prof Qiong Luo, Prof Dimitris Papadias, and Prof 
DY Yeung.,More information about the ,.",The 1st EPFL-HKUST Workshop on Computer and Communication Sciences
," has been selected as one of 
the three recipients of the School of Engineering Teaching Excellence 
Appreciation Award 2012-13. The Award recognizes the outstanding teaching 
performance of engineering faculty each year.","Prof Sunghun Kim Honored the School of Engineering Teaching Excellence 
Appreciation Award"
,"The Professor Samuel Chanson Scholarship Fund was jointly set up by the 
family of Professor Samuel Chanson and the HKUST, in memory of Professor 
Chanson.,The fund has been used to set up a number of scholarships and awards, 
namely Professor Samuel Chanson Academic Excellence Scholarship, Professor 
Samuel Chanson Best Final Year Project Awards, and Professor Samuel 
Chanson Best Teaching Assistant Awards, to benefit HKUST students and 
teaching assistants.,In Academic Year 2012-13, the scholarship and awards are given to the 
following students and TA in recognition of their great work during the 
year:, held on 29 
October 2013.",Professor Samuel Chanson Scholarship & Awards (2012-13)
,"Jeff HUANG, PhD student supervised by ,, has received the prestigious 2013 SIGSOFT Outstanding 
Doctoral Dissertation Award for his PhD thesis ""Effective Methods for 
Debugging Concurrent Software"".,The SIGSOFT Outstanding Doctoral Dissertation Award is given to only 
one author of an outstanding doctoral dissertation in the area of Software 
Engineering from all over the world once a year. Read more information 
about ,.",2013 SIGSOFT Outstanding Doctoral Dissertation Award
